Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying,School
58796.000000,651.198749,-4.820771,-6.511987,4.357000,-468.284723,626.372886,-5.206672,935.579290,3.063207,0.173615,-254.923260,212.370000,Gryffindor
15578.000000,-151.088209,6.871857,1.510882,7.906000,645.447451,607.442729,6.317446,1091.054831,11.708777,0.260556,-226.768960,11.220000,Ravenclaw
56909.000000,458.127026,6.981589,-4.581270,5.686000,-579.668591,403.327690,4.265810,1052.035235,3.456519,0.070206,-242.999040,3.810000,Hufflepuff
39873.000000,-264.678311,5.949951,2.646783,6.829000,745.465666,626.823332,4.886733,1079.549395,9.318098,0.364387,-228.793590,-1.720000,Ravenclaw
44987.000000,673.167110,0.131516,-6.731671,9.421000,-709.696428,461.896734,0.531823,1073.585204,6.346027,1.747770,-245.830670,23.460000,Hufflepuff
79537.000000,-511.226438,7.963184,5.112264,5.769000,419.755599,663.157592,7.089608,1035.424804,7.288428,0.236052,-228.839880,-6.400000,Ravenclaw
46505.000000,508.161188,6.113144,-5.081612,3.284000,-387.555981,407.319941,5.142065,1037.080433,5.109155,1.330036,-244.661680,19.760000,Hufflepuff
66246.000000,-419.022085,-6.655230,4.190221,-6.006000,-322.019869,408.628000,4.837897,1039.943499,8.739039,0.022792,-253.047490,-91.440000,Slytherin
32991.000000,612.593032,4.166335,-6.125930,5.142000,-528.809527,455.114741,1.879998,1047.788827,6.670689,0.604617,-245.140280,76.200000,Hufflepuff
40401.000000,236.888879,-5.077751,-2.368889,5.517000,-544.758909,604.096378,-4.955320,977.896778,4.377129,-1.551045,-249.387860,173.060000,Gryffindor
48832.000000,458.342038,3.331786,-4.583420,5.794000,-357.144381,327.384627,8.575962,1051.344828,4.055017,0.217736,-243.731120,-100.060000,Hufflepuff
48984.000000,600.081350,3.464527,-6.000813,6.881000,-678.523644,387.235626,5.687413,1069.242718,6.449913,1.951817,-244.619400,-36.540000,Hufflepuff
58112.000000,514.341937,-2.832055,-5.143419,5.754000,-685.171030,618.441409,-7.003953,957.091138,1.732237,0.358595,-252.335860,223.800000,Gryffindor
56259.000000,-301.483373,4.470596,3.014834,6.545000,887.027852,650.595404,5.728552,1075.093829,9.550557,-1.197556,-229.649840,-35.060000,Ravenclaw
54477.000000,413.574984,4.907537,-4.135750,3.259000,-363.096593,325.814384,4.604073,1052.105227,1.608784,0.454366,-246.103600,-48.860000,Hufflepuff
44450.000000,-279.001092,7.198095,2.790011,6.977000,251.714447,587.622827,2.456652,1046.835522,4.685133,0.007051,-231.206150,50.890000,Ravenclaw
43212.000000,569.213782,6.738672,-5.692138,5.141000,-383.952860,379.041960,2.764739,1038.429801,1.575659,1.642206,-244.353660,30.910000,Hufflepuff
59927.000000,384.373140,6.690900,-3.843731,6.617000,-715.221555,456.354064,4.847747,1053.715224,5.760333,1.095952,-241.358870,15.520000,Hufflepuff
40775.000000,-619.351572,-8.887564,6.193516,-6.920000,-267.622166,376.540238,6.832456,1056.157417,11.708297,-0.047774,-251.372650,-125.380000,Slytherin
52334.000000,494.083696,-4.853242,-4.940837,5.422000,-413.782622,603.401917,-5.213072,944.046466,1.781742,-1.416967,-252.497810,189.060000,Gryffindor
29293.000000,486.415031,5.475307,-4.864150,6.614000,-438.343979,482.062058,4.616138,1029.825012,7.088151,-1.890665,-240.694110,70.680000,Hufflepuff
41965.000000,-591.878580,6.603585,5.918786,3.217000,388.555080,573.218862,6.569018,1042.536254,7.568807,-0.710009,-230.270830,2.560000,Ravenclaw
51536.000000,440.087311,5.172276,-4.400873,4.542000,-601.187980,385.014932,3.471508,1059.512002,4.013484,-0.144041,-245.004700,-1.250000,Hufflepuff
73385.000000,-415.026329,7.254609,4.150263,6.916000,489.102450,667.290411,7.920046,1058.228763,9.549080,-1.659350,-227.920760,-28.930000,Ravenclaw
59112.000000,-390.712167,4.372105,3.907122,4.588000,473.152727,568.787794,6.340341,1044.900158,6.523429,1.146691,-233.104510,-38.710000,Ravenclaw
52190.000000,496.174850,4.660387,-4.961748,5.139000,-507.796567,354.732731,5.005440,1057.452799,3.389501,1.058843,-245.053530,-38.960000,Hufflepuff
68570.000000,-387.744832,-4.604620,3.877448,-6.945000,-419.164294,403.712912,1.720550,1058.580480,7.637558,-0.404528,-253.984290,-54.300000,Slytherin
53157.000000,642.066808,-3.731583,-6.420668,5.537000,-430.841387,592.057808,-5.679533,952.480007,1.624174,-2.002451,-253.208940,195.930000,Gryffindor
42836.000000,420.628162,-5.996391,-4.206282,4.066000,-490.670973,586.566367,-4.608931,958.520348,4.011938,-0.692184,-253.068600,177.520000,Gryffindor
47880.000000,-508.096166,-5.315117,5.080962,-7.952000,-460.669746,373.290032,2.211949,1080.114992,9.819558,-1.211105,-253.021880,-63.610000,Slytherin
40993.000000,-659.074509,-1.389782,6.590745,-4.653000,-707.637017,362.346302,2.774750,1066.574423,6.855986,1.228172,-247.191690,-40.260000,Slytherin
44262.000000,442.529781,-4.159919,-4.425298,5.766000,-725.118156,569.311608,-6.499374,951.287328,0.808715,0.413114,-252.474650,207.580000,Gryffindor
68337.000000,-240.580838,-8.466872,2.405808,-3.055000,-362.505603,462.162594,7.084377,1031.403583,11.600729,-0.606270,-252.160260,-100.810000,Slytherin
54555.000000,-400.741894,-4.149148,4.007419,-4.711000,-479.519924,408.282673,3.139227,1055.261603,8.413705,-0.432314,-250.707820,-50.100000,Slytherin
18882.000000,679.944115,4.749803,-6.799441,2.991000,-361.694707,381.054579,5.284484,1038.241566,7.024571,-1.332439,-245.825800,41.310000,Hufflepuff
45361.000000,579.267301,-4.812675,-5.792673,5.589000,-286.938245,592.320612,-3.230741,974.108166,4.820526,0.602048,-251.288920,150.330000,Gryffindor
51703.000000,-461.409339,-5.887283,4.614093,-6.869000,-334.182727,395.512967,3.507092,1057.480476,9.408526,-1.107893,-252.453530,-68.800000,Slytherin
44262.000000,-352.500131,5.501650,3.525001,6.285000,757.775543,654.498746,4.377433,1077.107598,9.752553,1.539882,-228.815570,7.380000,Ravenclaw
62083.000000,432.235531,4.760956,-4.322355,5.584000,-443.256143,333.656020,6.010138,1056.628084,1.837102,0.502925,-244.477970,-79.620000,Hufflepuff
70512.000000,191.662007,4.712187,-1.916620,5.615000,-810.146252,363.356905,2.835333,1084.665092,2.267171,-0.561444,-244.061180,-57.350000,Hufflepuff
73353.000000,376.585356,4.537302,-3.765854,6.843000,-705.997676,385.062613,6.401809,1071.026218,4.420618,0.837367,-243.331050,-80.510000,Hufflepuff
64219.000000,405.575729,4.347896,-4.055757,5.813000,-897.837096,465.411827,5.286010,1075.488164,9.165098,0.194104,-243.618370,-6.490000,Hufflepuff
30461.000000,-608.160966,7.030300,6.081610,3.873000,110.636573,540.539570,6.564960,1038.714585,7.049923,0.410949,-229.907810,17.890000,Ravenclaw
39225.000000,546.104852,-5.177677,-5.461049,5.236000,-478.205384,583.900979,-5.619651,932.154754,1.372322,1.173693,-253.309620,213.830000,Gryffindor
58659.000000,558.985077,7.199281,-5.589851,3.763000,-384.840171,366.743836,8.973601,1037.306719,4.961227,1.333357,-243.941710,-47.230000,Hufflepuff
56313.000000,-463.650250,-2.457738,4.636503,-3.523000,-497.696670,448.246918,3.032472,1033.512426,7.354243,-0.317055,-248.220680,-13.850000,Slytherin
46240.000000,530.227319,6.551776,-5.302273,3.148000,-576.482695,402.543861,1.516808,1051.978018,3.849728,0.455501,-246.201510,57.610000,Hufflepuff
54847.000000,-203.967378,3.998021,2.039674,7.718000,806.681414,624.085895,5.781732,1082.067253,9.071699,0.012898,-230.179970,-51.500000,Ravenclaw
54986.000000,440.843826,6.506028,-4.408438,4.794000,-392.976039,411.039902,6.100321,1036.159534,4.221409,-1.153588,-242.807590,-6.280000,Hufflepuff
69442.000000,-557.430815,7.632079,5.574308,5.269000,638.149409,636.650927,4.514083,1059.421508,5.990332,0.135035,-228.819800,-9.200000,Ravenclaw
46350.000000,-298.262272,5.544377,2.982623,6.658000,432.336901,645.247265,4.797740,1048.190860,8.733862,0.145046,-230.328200,32.770000,Ravenclaw
70868.000000,349.734806,2.262855,-3.497348,4.612000,-569.174994,417.255631,4.857709,1064.649952,5.724471,-0.389273,-245.972900,-54.510000,Hufflepuff
68359.000000,418.680782,2.398727,-4.186808,5.468000,-521.310215,459.210018,5.054253,1054.544018,6.789390,1.101545,-245.053870,-28.360000,Hufflepuff
46079.000000,474.289848,2.823746,-4.742898,4.681000,-404.595945,405.741898,6.156094,1047.163545,6.482312,0.627044,-244.820780,-26.570000,Hufflepuff
56134.000000,336.062337,-4.917391,-3.360623,5.402000,-506.976994,634.171892,-4.248889,971.019324,4.928507,1.245108,-250.444660,168.200000,Gryffindor
58549.000000,477.189159,4.669851,-4.771892,6.445000,-742.848113,380.244978,4.889160,1072.875175,4.859939,-1.213346,-244.211770,-39.780000,Hufflepuff
20807.000000,661.112044,5.070565,-6.611120,4.824000,-275.129487,437.200197,3.895705,1021.854701,5.904646,0.058588,-243.931810,78.720000,Hufflepuff
32491.000000,793.075952,5.613896,-7.930760,4.977000,-533.375188,428.349714,7.111135,1041.245616,9.235553,0.245646,-244.506730,35.690000,Hufflepuff
47052.000000,561.655920,6.154024,-5.616559,3.749000,-246.931430,386.419126,4.249601,1028.143469,2.510425,-0.851132,-245.173490,17.140000,Hufflepuff
67687.000000,239.695764,-3.464019,-2.396958,5.250000,-602.366324,659.353355,-7.392166,962.817229,2.142783,-1.474606,-250.647270,212.010000,Gryffindor
60337.000000,308.544618,-3.609654,-3.085446,6.883000,-231.057459,636.079572,-4.939480,984.255442,2.983814,-0.914623,-247.825920,147.710000,Gryffindor
38317.000000,-345.891285,6.961554,3.458913,5.861000,465.421011,593.066706,5.746751,1047.766242,7.496068,-0.871145,-229.559430,18.770000,Ravenclaw
40041.000000,423.729707,7.297099,-4.237297,5.725000,-413.691371,392.295968,3.347157,1037.226007,1.828640,1.396020,-241.875430,32.420000,Hufflepuff
32995.000000,737.295744,4.380005,-7.372957,5.415000,-353.107008,298.218960,3.644399,1051.594118,1.228919,0.204894,-246.926650,-22.770000,Hufflepuff
40377.000000,529.189541,-3.785622,-5.291895,5.923000,-645.383006,615.086331,-5.482981,960.654976,4.160832,-0.496053,-251.266960,220.380000,Gryffindor
48416.000000,-454.697397,4.152189,4.546974,5.464000,587.687706,609.114908,5.035511,1064.406337,8.220709,-0.758592,-230.705090,-19.330000,Ravenclaw
35796.000000,-662.466794,-4.442912,6.624668,-3.542000,-624.843511,374.422517,6.043297,1057.439037,9.448967,-0.939102,-246.520710,-83.430000,Slytherin
72219.000000,385.259695,5.811254,-3.852597,4.108000,-507.416719,379.141466,3.675069,1056.192428,1.925048,0.337150,-245.507250,-32.850000,Hufflepuff
32401.000000,663.311458,-3.737959,-6.633115,5.321000,-355.913344,621.482954,-4.585396,976.944729,6.467256,0.807820,-250.984960,209.290000,Gryffindor
35880.000000,571.753875,6.962779,-5.717539,4.667000,-527.392044,384.622583,4.525148,1045.380652,4.608999,-1.093970,-243.718140,32.630000,Hufflepuff
75206.000000,-635.574201,5.435313,6.355742,4.203000,538.239029,628.417176,3.603505,1041.825085,4.725093,0.163834,-231.655350,-8.220000,Ravenclaw
56467.000000,529.303005,4.204821,-5.293030,6.890000,-511.896277,386.227460,6.335260,1054.676835,4.540174,-0.980598,-243.634600,-50.500000,Hufflepuff
57493.000000,-316.958196,7.056763,3.169582,6.811000,439.411685,635.974144,7.627176,1051.755078,9.270982,0.806468,-228.812690,-9.050000,Ravenclaw
47435.000000,514.268047,-6.938641,-5.142680,3.594000,-299.584450,593.368443,-2.623108,956.078922,5.496264,-0.550872,-253.838730,147.310000,Gryffindor
58994.000000,-529.833646,-7.551878,5.298336,-5.441000,-420.006146,372.045832,7.031750,1046.206131,9.484187,1.769465,-251.701570,-134.020000,Slytherin
66029.000000,418.797999,5.241967,-4.187980,3.957000,-671.441429,438.315387,4.935839,1060.120296,6.812914,0.443007,-244.952640,-4.130000,Hufflepuff
65151.000000,-340.477129,-9.573924,3.404771,-6.991000,-240.384485,424.173710,5.355312,1053.342770,11.960951,0.185176,-255.364370,-111.750000,Slytherin
80698.000000,-585.019129,3.189834,5.850191,4.982000,1092.388611,623.565571,6.364253,1068.608580,6.424160,1.266686,-230.461790,-107.590000,Ravenclaw
63085.000000,-535.963101,5.204958,5.359631,4.947000,586.142252,606.489107,1.422844,1032.637100,2.352840,-0.592417,-232.476740,22.380000,Ravenclaw
32757.000000,559.512523,-4.459940,-5.595125,5.432000,-593.124987,565.642456,-5.264616,962.293217,3.216332,0.241192,-252.348380,200.170000,Gryffindor
43903.000000,-615.776288,5.282133,6.157763,3.335000,552.571149,571.362409,3.124889,1029.530054,3.825086,0.893679,-231.970340,23.050000,Ravenclaw
30360.000000,714.114942,3.802036,-7.141149,5.747000,-484.533108,414.257396,7.048595,1044.573925,8.599684,1.041867,-244.291270,8.270000,Hufflepuff
53747.000000,402.300142,3.530123,-4.023001,8.131000,-623.521407,395.721848,5.086697,1064.693323,4.274640,0.319692,-242.278290,-47.350000,Hufflepuff
55822.000000,-605.169092,3.649099,6.051691,5.044000,606.120351,690.880454,4.221925,1041.533088,8.997370,0.970029,-230.002200,24.510000,Ravenclaw
25521.000000,-436.248846,6.474863,4.362488,4.869000,522.171600,527.933794,4.459570,1046.163957,4.752422,0.059905,-230.419500,12.920000,Ravenclaw
91006.000000,49.842244,4.071053,-0.498422,4.953000,-767.512320,419.541037,2.546090,1078.897241,2.629177,-2.321061,-244.261750,-60.980000,Hufflepuff
49342.000000,-526.085981,-4.036462,5.260860,-5.764000,-627.690007,374.522998,4.326933,1062.047555,9.142679,1.614915,-250.420920,-68.140000,Slytherin
44716.000000,362.503232,5.234575,-3.625032,3.715000,-344.989807,480.136053,4.281443,1027.483677,6.486040,-0.693702,-242.902800,55.660000,Hufflepuff
42551.000000,657.100095,8.127387,-6.571001,3.919000,-294.837863,319.108020,2.827435,1036.431510,-0.685188,0.355684,-245.783220,18.200000,Hufflepuff
46919.000000,-404.372187,-5.078323,4.043722,-4.610000,-322.905489,456.635924,3.968857,1039.130709,10.276649,0.085245,-249.671880,-28.320000,Slytherin
32154.000000,429.255452,-7.790582,-4.292555,4.299000,-362.463077,532.348494,-3.530176,932.467323,1.612697,-0.419708,-253.983870,153.590000,Gryffindor
57769.000000,-608.914995,-9.953412,6.089150,-5.834000,-460.624663,358.904411,9.494249,1048.695232,11.617285,-0.973718,-252.130770,-180.370000,Slytherin
68382.000000,357.735416,4.908872,-3.577354,4.831000,-416.471873,302.892909,7.596507,1057.687383,1.339334,0.245526,-244.504390,-119.590000,Hufflepuff
72259.000000,-650.257880,4.870031,6.502579,4.815000,518.020060,627.600449,4.108175,1030.106353,4.374232,-1.302512,-231.323970,-8.050000,Ravenclaw
48503.000000,376.067225,5.440262,-3.760672,6.182000,-641.078188,423.326583,2.790275,1057.735495,4.208608,-0.390436,-242.691700,22.290000,Hufflepuff
62442.000000,741.340943,-1.354283,-7.413409,7.783000,-560.006131,597.703964,-7.018532,946.552356,-1.149511,0.553595,-252.151870,219.300000,Gryffindor
46540.000000,-596.636194,5.423167,5.966362,4.101000,455.238544,612.304251,4.617962,1038.938257,6.934763,-1.548354,-230.565340,21.250000,Ravenclaw
47266.000000,469.405960,-5.529584,-4.694060,3.981000,-520.948597,622.385780,-4.622835,957.758515,5.351642,1.588396,-253.088880,196.780000,Gryffindor
65283.000000,389.202432,5.804108,-3.892024,4.397000,-449.043692,425.218027,5.322115,1043.572829,4.422417,-0.389487,-243.780560,-13.040000,Hufflepuff
22398.000000,599.585211,-5.705504,-5.995852,4.660000,-569.996772,596.599814,-3.767261,952.401219,6.477809,0.411232,-252.614650,217.250000,Gryffindor
42359.000000,-562.681904,-6.000506,5.626819,-5.214000,-529.979042,375.728085,6.407742,1056.650319,10.623115,-0.446106,-249.612480,-97.270000,Slytherin
35843.000000,489.894253,-3.653055,-4.898943,6.509000,-349.773327,627.385103,-4.990578,972.272775,4.661389,1.058051,-248.894200,201.190000,Gryffindor
41153.000000,299.159888,-6.188563,-2.991599,5.301000,-460.661289,565.368229,-5.787646,934.339040,-0.181510,-1.128721,-252.185040,183.150000,Gryffindor
51005.000000,703.298589,-3.691706,-7.032986,5.396000,-718.608467,598.589927,-6.100923,933.642561,1.744548,0.610404,-254.751100,237.120000,Gryffindor
38144.000000,-463.748124,4.067801,4.637481,4.716000,481.949720,595.489738,4.793714,1051.292693,8.063914,0.189348,-231.440600,7.210000,Ravenclaw
43174.000000,666.102710,-3.798763,-6.661027,5.337000,-512.122703,614.765797,-4.734302,965.214771,5.143057,-1.028113,-252.364000,208.290000,Gryffindor
32262.000000,791.183339,-2.600644,-7.911833,8.042000,-542.272929,536.779645,-6.272048,937.860607,-1.404884,0.451197,-252.126600,221.150000,Gryffindor
43554.000000,-504.672160,-5.390524,5.046722,-3.555000,-477.041210,415.617033,6.743408,1038.294797,10.353713,0.449631,-248.008270,-74.440000,Slytherin
37115.000000,-611.896614,-5.612528,6.118966,-6.691000,-713.087948,323.451501,5.323453,1090.201068,11.093164,0.204732,-250.793630,-110.750000,Slytherin
63995.000000,441.156982,6.160816,-4.411570,3.586000,-463.238086,322.221655,4.887883,1058.328100,1.300074,-0.522939,-245.928060,-57.460000,Hufflepuff
39731.000000,660.855886,-2.811463,-6.608559,6.503000,-601.001253,608.688759,-5.376520,974.176225,4.579109,-0.959918,-250.982610,215.490000,Gryffindor
44378.000000,478.938299,3.270598,-4.789383,7.217000,-399.892689,413.395534,7.761771,1043.407332,6.384901,-0.727633,-241.898490,-43.130000,Hufflepuff
57084.000000,476.683550,3.020528,-4.766836,7.775000,-649.927914,444.943495,4.443757,1062.297684,6.181212,-1.002452,-243.310480,-17.020000,Hufflepuff
71129.000000,281.637754,5.647298,-2.816378,3.730000,-547.622050,348.356724,7.324279,1061.171423,3.615728,-0.411852,-244.143340,-87.640000,Hufflepuff
52049.000000,374.502864,5.626832,-3.745029,5.501000,-680.559204,405.492900,9.986958,1058.922272,8.847002,-0.138537,-241.088420,-56.510000,Hufflepuff
67129.000000,-500.831681,-5.628744,5.008317,-4.980000,-145.466688,437.798985,5.022476,1008.674411,6.517022,0.352831,-250.636580,-69.990000,Slytherin
59354.000000,-306.267249,8.272247,3.062672,5.271000,225.087816,555.106696,4.985540,1026.149910,3.471946,0.337146,-232.479760,19.370000,Ravenclaw
34543.000000,650.946531,5.166447,-6.509465,4.846000,-324.323603,380.134658,3.539894,1038.385229,3.414811,1.102914,-245.304970,27.310000,Hufflepuff
57873.000000,338.822931,7.329864,-3.388229,4.189000,-616.839179,426.949753,2.327245,1052.164438,3.416829,0.803690,-243.452780,38.900000,Hufflepuff
54696.000000,445.812350,1.604081,-4.458124,7.328000,-626.537903,394.201954,7.635449,1070.410582,7.402756,0.299466,-243.532510,-85.170000,Hufflepuff
42547.000000,426.451545,-2.870673,-4.264515,7.050000,-582.921191,606.951145,-4.982395,995.840620,4.793895,-0.661986,-248.280950,177.610000,Gryffindor
39228.000000,-383.086624,4.770942,3.830866,5.832000,582.825020,615.948545,4.417155,1068.539889,8.828469,0.603137,-230.174670,5.660000,Ravenclaw
53431.000000,458.390915,-5.195215,-4.583909,4.271000,-476.143264,630.249014,-4.399363,960.717900,5.198775,1.014278,-252.566960,186.080000,Gryffindor
38984.000000,498.851523,-4.727777,-4.988515,7.004000,42.248432,648.882064,-1.832113,986.238781,7.323180,-0.472512,-246.826350,137.900000,Gryffindor
41173.000000,-544.006755,6.354748,5.440068,4.951000,445.993287,586.549746,5.762431,1065.873998,8.168992,-1.738913,-228.980870,-8.410000,Ravenclaw
68697.000000,539.817622,4.120803,-5.398176,5.970000,-641.877154,394.067528,3.659346,1067.330700,3.857594,-0.547942,-246.101020,-34.570000,Hufflepuff
62042.000000,476.253084,-4.368506,-4.762531,5.802000,-585.951725,572.840377,-5.275262,955.572859,0.639726,-1.144834,-252.969500,163.150000,Gryffindor
60975.000000,417.874127,6.231949,-4.178741,6.400000,-561.684224,377.187027,5.981997,1054.732651,3.104148,0.223770,-242.474350,-44.310000,Hufflepuff
57532.000000,-539.459982,3.241189,5.394600,5.160000,254.994857,639.326258,5.393172,1028.210304,8.073241,0.216822,-232.186520,12.050000,Ravenclaw
55371.000000,-547.556768,7.140489,5.475568,5.138000,409.372920,585.108082,4.634796,1042.621431,4.742602,-0.836546,-230.031350,4.410000,Ravenclaw
39874.000000,658.690751,6.617485,-6.586908,2.858000,-496.653039,378.101419,1.353014,1049.265254,3.287228,-0.133814,-247.347390,61.580000,Hufflepuff
79428.000000,-281.428679,4.945813,2.814287,6.583000,517.679245,608.300316,5.122940,1036.250232,4.484910,-0.766996,-233.166510,-32.360000,Ravenclaw
87138.000000,-365.471661,-6.671809,3.654717,-7.125000,-501.887733,387.836132,6.029867,1033.374716,8.248789,1.383578,-255.966930,-120.430000,Ravenclaw
53960.000000,505.681327,6.049239,-5.056813,4.136000,-457.606408,387.681781,1.630930,1047.432938,1.685773,0.447002,-245.936740,26.640000,Hufflepuff
44095.000000,626.183438,5.415560,-6.261834,5.311000,-333.063420,386.804696,7.224753,1034.636001,5.094626,0.876460,-243.821310,-17.540000,Hufflepuff
31210.000000,-525.969737,-3.589812,5.259697,-3.002000,-626.585356,412.152267,4.599611,1062.529645,10.582996,0.238411,-246.341110,-38.680000,Slytherin
58492.000000,-272.035173,-7.493775,2.720352,-4.770000,-351.552540,449.876305,6.679820,1034.348326,12.128237,-0.123958,-252.319290,-78.630000,Slytherin
62429.000000,495.588774,4.163193,-4.955888,5.646000,-616.283892,394.624514,4.240604,1063.059321,4.382815,-1.979135,-245.408380,-30.110000,Hufflepuff
23669.000000,558.364146,5.073432,-5.583641,5.585000,-616.116819,376.805097,8.914703,1053.267695,8.941349,0.686627,-242.006940,-16.340000,Hufflepuff
26557.000000,-743.695796,-5.226165,7.436958,-3.759000,-698.491287,352.851256,6.764206,1072.230802,10.834149,1.490752,-245.946790,-102.600000,Slytherin
28482.000000,825.501941,8.573561,-8.255019,2.796000,-148.642319,323.668254,1.160615,1020.930906,-1.091479,-1.084252,-247.422570,75.190000,Hufflepuff
61099.000000,-596.796770,3.858907,5.967968,5.475000,601.829425,627.516787,5.064972,1054.619502,7.129772,-0.187130,-230.283250,-30.580000,Ravenclaw
46520.000000,220.815307,-7.674307,-2.208153,2.975000,-835.300210,544.611119,-6.036173,924.164460,0.282420,0.440750,-256.013200,191.700000,Gryffindor
16697.000000,-604.253520,-3.346542,6.042535,-4.936000,-415.425616,430.235291,4.523609,1047.577330,11.389266,0.522028,-245.755650,-2.640000,Slytherin
44757.000000,568.280965,7.657914,-5.682810,3.999000,-529.984174,391.123475,3.363899,1045.757519,3.652442,0.053053,-244.600070,42.740000,Ravenclaw
58984.000000,-479.718221,7.116839,4.797182,5.629000,500.676850,595.351516,5.634878,1050.271619,5.813837,1.050990,-229.582480,-14.560000,Ravenclaw
42559.000000,547.623391,-5.527432,-5.476234,3.961000,-833.569248,587.779349,-6.026760,926.717882,2.543551,-0.582417,-255.750590,240.630000,Gryffindor
59800.000000,462.472855,5.803787,-4.624729,4.855000,-727.821627,435.027005,4.960436,1061.828922,6.907009,-0.305844,-244.062260,5.590000,Hufflepuff
30403.000000,670.895094,4.391259,-6.708951,6.746000,-487.860553,390.111485,5.619491,1048.062676,5.953460,0.504167,-243.587250,5.540000,Hufflepuff
67074.000000,487.398657,6.125320,-4.873987,4.927000,-639.408020,378.892631,5.444122,1062.118895,4.111309,-0.729444,-244.827430,-37.960000,Hufflepuff
26268.000000,-559.926652,5.157633,5.599267,3.733000,637.774957,538.450579,4.378176,1057.265362,5.938297,1.174147,-230.542340,-4.470000,Ravenclaw
53134.000000,292.072676,4.182950,-2.920727,4.335000,-612.956786,441.806527,5.825242,1055.954650,7.670626,0.373496,-243.102930,-8.520000,Hufflepuff
42850.000000,676.693111,-7.287346,-6.766931,2.596000,-650.485139,536.633015,-4.656878,915.006430,1.697396,-1.374451,-258.977530,201.430000,Gryffindor
5929.000000,-762.844123,-2.277645,7.628441,-2.695000,-469.433026,412.476237,5.486221,1043.103487,9.932907,-0.090499,-241.555240,-11.340000,Slytherin
30053.000000,-452.844928,5.825963,4.528449,4.721000,653.040969,591.357930,4.912170,1066.566421,8.485304,0.944550,-229.333930,8.300000,Ravenclaw
33563.000000,747.446970,-8.648652,-7.474470,1.444000,-475.416182,576.497836,-1.921779,927.927730,7.404223,2.416330,-258.605600,188.600000,Gryffindor
59061.000000,-360.819498,4.909916,3.608195,6.265000,932.417612,670.442890,4.034883,1070.068478,8.380734,-0.237199,-229.560590,-9.890000,Ravenclaw
71739.000000,559.132274,-5.130720,-5.591323,3.420000,-684.318562,604.287817,-6.146592,930.809786,1.232929,-0.486519,-257.051370,205.670000,Gryffindor
29517.000000,705.117945,-6.214961,-7.051179,4.624000,-525.628764,551.139510,-3.736089,932.011620,3.248894,-0.072634,-255.104100,198.410000,Gryffindor
44780.000000,552.664802,6.626553,-5.526648,3.067000,-136.331942,363.146586,0.298578,1025.785881,-1.415214,0.576521,-246.703080,49.970000,Hufflepuff
30430.000000,479.027853,-7.746426,-4.790279,4.223000,-230.823816,547.363266,-3.150077,937.035170,2.705376,0.752805,-253.591140,152.690000,Gryffindor
